DatabaseName,Schema,TableName,FriendlyName
ALFA,dbo,GL00200,Budget
ALFA,dbo,GL00201,BudgetDetail
ALFA,dbo,GL00100,Account
ALFA,dbo,GL00102,AccountCategory
ALFA,dbo,GL00105,AccountIndex
ALFA,dbo,GL20000,PostedTransactions
ALFA,dbo,GL30000,PostedTransactionsHist
ALFA,dbo,GL40200,AccountSegments
ALFA,dbo,PM00400,PMKey
ALFA,dbo,PM40102,DocType
ALFA,dbo,PM30600,HistTransactionDistribution
ALFA,dbo,PM30200,PaidTransactionHist
ALFA,dbo,PM20000,OpenPostedTransactions
ALFA,dbo,PM00200,Vendor
ALFA,dbo,SY40100,PeriodSetup
ALFA,dbo,RM20101,OpenReceivablesTransactions
ALFA,dbo,RM30101,HistoryReceivablesTransactions
ALFA,dbo,RM00101,CustomerMaster
ALFA,dbo,RM00102,CustomerAddress
ALFA,dbo,RM00103,CusotmerMasterSummary
ALFA,dbo,RM00104,CusotmerMasterPeriodSummary
ALFA,dbo,RM20201,OpenReceivablesTransactionsApply
ALFA,dbo,RM30201,HistoryReceivablesTransactionsApply
ALFA,dbo,RM10101,RMDistributionWorkAndOpen
ALFA,dbo,RM30301,RMDistributionHistory
ALFA,dbo,GL11111,BalanceSheetHistory
ALFA,dbo,GL11110,BalanceSheetOpen
ALFA,dbo,GL10110,RawOpenBalanceSheet
ALFA,dbo,GL10111,RawHisoryBalanceSheet
